num, name, organism, type, Dataset, Platforms, samples, series
3946,Suppression of Progenitor Differentiation Requires the Long Non-Coding RNA ANCR [HG-U133_Plus_2],Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE34528,GSE34528
3947,Expression data from docetaxel-resistant prostate cancer cell lines,Homo sapiens,Expression profiling by array,GDS3973,GPL570,12,GSE33455,GSE33455
3948,Expression profiling of rheumatoid arthritis patients treated with anti-TNF,Homo sapiens,Expression profiling by array,NoData,GPL5175,42,GSE33377,GSE33377
3949,Modeling lethal prostate cancer variant with small cell carcinoma features [expression profile],Homo sapiens,Expression profiling by array,NoData,GPL570,22,GSE32967,GSE32967
3950,Modeling lethal prostate cancer variant with small cell carcinoma features,Homo sapiens,Genome variation profiling by genome tiling array; Expression profiling by array,NoData,GPL570 GPL4091,28,GSE33054,GSE33054
3951,Expression data from human HT-29 immortalized colorectal adenocarcinoma cell line,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE29060,GSE29060
3952,Expression data from human omental and subcutaneous adipose tissue taken from volunteers undergoing bariatric surgery,Homo sapiens,Expression profiling by array,NoData,GPL7020 GPL570,26,GSE29411,GSE29411
3953,Subcutaneous and omental white adipose tissue biopsies analysed from three obese patients,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE29410,GSE29410
3954,Substitutions in the KRas oncogene determine protein behavior: Implications for signaling and clinical outcome.,Homo sapiens,Expression profiling by array,NoData,GPL6244,22,GSE27389,GSE27389
3955,Gene expression profiling after induction of WTX in HEK293 cells,Homo sapiens,Expression profiling by array,GDS4802,GPL570,4,GSE34715,GSE34715
3956,Expression array of peripheral neuro-ectodermal cell lines,Homo sapiens,Expression profiling by array,NoData,GPL570,22,GSE33903,GSE33903
3957,"Expression data from MDA-MB-231 cell line treated with Zoledronate, or Fluvastatin, or mock-treated control cells.",Homo sapiens,Expression profiling by array,NoData,GPL6244,40,GSE33552,GSE33552
3958,Time-course effect of estradiol and estradiol-BSA on early gene expression,Homo sapiens,Expression profiling by array,NoData,GPL570,38,GSE32670,GSE32670
3959,Time-course effect of estradiol and estradiol-BSA on early gene expression in SKBR3 cells,Homo sapiens,Expression profiling by array,NoData,GPL570,8,GSE32669,GSE32669
3960,Time-course effect of estradiol and estradiol-BSA on early gene expression in MDA-MB-231 cells,Homo sapiens,Expression profiling by array,NoData,GPL570,11,GSE32668,GSE32668
3961,Time-course effect of estradiol and estradiol-BSA on early gene expression in MCF-7 cells,Homo sapiens,Expression profiling by array,NoData,GPL570,8,GSE32667,GSE32667
3962,Time-course effect of estradiol and estradiol-BSA on early gene expression in T47D cells,Homo sapiens,Expression profiling by array,NoData,GPL570,11,GSE32666,GSE32666
3963,Expression data comparing Huh7 cells transduced with shRNA CD24 (knockdown) or non-target control,Homo sapiens,Expression profiling by array,NoData,GPL570,2,GSE28057,GSE28057
3964,Gene expression in Ewing tumor cell lines after STEAP1 silencing,Homo sapiens,Expression profiling by array,NoData,GPL6244,6,GSE26422,GSE26422
3965,Differential gene expression in circulating leukocytes from breast cancer patients treated with Cognitive Behavioral Stress Management,Homo sapiens,Expression profiling by array,NoData,GPL10904,53,GSE24079,GSE24079
3966,Ribavirin Treated Huh7.5.1 Cells,Homo sapiens,Expression profiling by array,GDS4391,GPL570,6,GSE23031,GSE23031
3967,Comparison of post-mortem tissue from Brodman Brain BA22 region between schizophrenic and control patients,Homo sapiens,Expression profiling by array,GDS4522,GPL570,42,GSE21935,GSE21935
3968,Kidney spheroids generate a functional quiescent niche leading to enhanced tubulogenic potency of human kidney-derived cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,6,GSE28052,GSE28052
3969,Expression data from G9a overexpression and knockdown lung cancer cell lines,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE22810,GSE22810
3970,Blood genomic expression profile for ischemic stroke (IS),Homo sapiens,Expression profiling by array,GDS4521,GPL570,40,GSE22255,GSE22255
3971,Expression data from 30 medulloblastomas,Homo sapiens,Expression profiling by array,NoData,GPL6244,30,GSE30074,GSE30074
3972,EARLY DETECTION OF LUNG CANCER BY MOLECULAR MARKERS IN ENDOBRONCHIAL LINING FLUID,Homo sapiens,Expression profiling by array; Expression profiling by RT-PCR,NoData,GPL2845 GPL570,142,GSE27554,GSE27554
3973,Evaluation of HIPK2-modulated genes in cancer cells.,Homo sapiens,Expression profiling by array,NoData,GPL6244,4,GSE31089,GSE31089
3974,Gene Expression in Three Early Human Hypertrophic Scar Samples,Homo sapiens,Expression profiling by array,NoData,GPL570,3,GSE26213,GSE26213
3975,SCREENING STUDY TO IDENTIFY DIAGNOSTIC MARKERS FOR LUNG CANCER IN ENDOBRONCHIAL LINING FLUID,Homo sapiens,Expression profiling by array,NoData,GPL570,30,GSE27489,GSE27489
3976,Iron Chelators Treatment on DMS-53 Human Lung Cancer Cell,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE26920,GSE26920
3977,Gene expression profiles of 48 normal and 47 prostate tumor tissue samples,Homo sapiens,Expression profiling by array,NoData,GPL5175,95,GSE29079,GSE29079
3978,Expression data from normal human and unstable angina patient.,Homo sapiens,Expression profiling by array,NoData,GPL570,3,GSE34781,GSE34781
3979,Transcriptomes From the Deep Cones During FIbroproliferative Cutaneous Healing in the Duroc/Yorkshire Porcine Model,Homo sapiens; Sus scrofa,Expression profiling by array,NoData,GPL3533 GPL570,63,GSE26095,GSE26095
3980,Expression gene (angiocrine) profile of various activated endothelial cells,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE24093,GSE24093
3981,The Effect of liver regeneration on hESCs transplanted into SCID mice,Mus musculus; Homo sapiens,Expression profiling by array,NoData,GPL6244,4,GSE31136,GSE31136
3982,Time-course expression: hiPSC differentiation toward cardiomyocytes,Homo sapiens,Expression profiling by array,NoData,GPL6244,12,GSE28191,GSE28191
3983,Gene expression analysis of TGF-beta signaling-disrupting gastric cancer cell line 2MLN,Homo sapiens,Expression profiling by array,NoData,GPL570,2,GSE12336,GSE12336
3984,"Gene expression in iPrEC cell line transfected with wild-type USP2A, mutant USP2A, or empty vector.",Homo sapiens,Expression profiling by array,NoData,GPL570,15,GSE17466,GSE17466
3985,Identification of novel androgen-regulated pathways and mRNA isoforms through genome-wide exon-specific profiling of the LNCaP transcriptome,Homo sapiens,Expression profiling by array,NoData,GPL5188 GPL5175,32,GSE32875,GSE32875
3986,Programming human pluripotent stem cells into adipocytes,Homo sapiens,Expression profiling by array,NoData,GPL6244 GPL570 GPL13607,58,GSE30041,GSE30041
3987,Programming human pluripotent stem cells into adipocytes [Affymetrix],Homo sapiens,Expression profiling by array,NoData,GPL570 GPL6244,34,GSE30038,GSE30038
3988,Defining a No Observable Transcriptional Effect Level (NOTEL) for low dose N-OH-PhIP exposures in human BEAS-2B bronchioepithelial cells,Homo sapiens,Expression profiling by array,NoData,GPL570,29,GSE34635,GSE34635
3989,Expression data from 3 gamma-secretase or mock-treated mantle cell lymphoma (MCL) cell lines,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE34602,GSE34602
3990,In-transit extremity melanoma III,Homo sapiens,Expression profiling by array,NoData,GPL570,21,GSE34599,GSE34599
3991,Identifying breast cancer biomarkers,Homo sapiens,Expression profiling by array,NoData,GPL570,66,GSE29431,GSE29431
3992,Comparison of the transcriptome of K-LEC spheroids to control LEC spheroids,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE22522,GSE22522
3993,IPH-926 human lobular breast cancer cells,Homo sapiens,Expression profiling by array,,,0,GSE28089,GSE28089
3994,"A phase II neoadjuvant trial of anastrozole (A), fulvestrant (F) and gefitinib (I - iressa) in patients with newly diagnosed estrogen receptor positive breast cancer",Homo sapiens,Expression profiling by array,GDS4093,GPL570,22,GSE33658,GSE33658
3995,Genome-wide methylation and expression profiling study identifies candidate DNA methylation drivers of acquired cisplatin resistance in ovarian cancer.,Homo sapiens,Expression profiling by array; Methylation profiling by array,NoData,GPL8490 GPL570,46,GSE28648,GSE28648
3996,"Gene expression profiling in A2780, CP70 and CP70 following Decitabine and/or PXD101 treatment",Homo sapiens,Expression profiling by array,NoData,GPL570,15,GSE28646,GSE28646
3997,"Expression data of ITK deficient, HVS transformed CD4+ T cells",Homo sapiens,Expression profiling by array,NoData,GPL6244,6,GSE28200,GSE28200
3998,"BT474 tumors, primary TN tumors and MCF10A-HER2/3 cells in the presence or absence of SHP2",Homo sapiens,Expression profiling by array,NoData,GPL6244,36,GSE34525,GSE34525
3999,MCF10A-HER2/3 cells grown in 3D cultures in the presence or absence of SHP2,Homo sapiens,Expression profiling by array,NoData,GPL6244,6,GSE34524,GSE34524
4000,BT474 tumors in the presence or absence of SHP2,Homo sapiens,Expression profiling by array,NoData,GPL6244,16,GSE34523,GSE34523
4001,Digital gene and expression profiling of primary acute lymphoblastic leukemia (ALL) cells,Homo sapiens,Expression profiling by array; Expression profiling by high throughput sequencing,NoData,GPL570 GPL10999 GPL9115,48,GSE26878,GSE26878
4002,Gene expression profiling of primary acute lymphoblastic leukemia (ALL) cells,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE26865,GSE26865
4003,"Gene expression profiles of human blood classical monocytes (CD14++CD16-), CD16 positive monocytes (CD14+16++ and CD14++CD16+), and CD1c+ CD19- dendritic cells [human data]",Homo sapiens,Expression profiling by array,NoData,GPL570,9,GSE34515,GSE34515
4004,Whole-exome sequencing identifies mutations of BCOR in acute myeloid leukemia with normal karyotype,Homo sapiens,Expression profiling by array,GDS4280,GPL570,24,GSE30442,GSE30442
4005,Patients with Activated B-cell-like Diffuse Large B-cell Lymphoma (ABC DLBCL) in high and low infectious disease areas have different inflammatory gene signatures,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE34339,GSE34339
4006,A microRNA regulon that mediates endothelial recruitment by metastatic human breast cancer cells.,Homo sapiens,Expression profiling by array,NoData,GPL570 GPL6947,8,GSE23921,GSE23921
4007,Gene expression-based dentification of microRNA-9-3 target genes in breast epithelial cells,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE15749,GSE15749
4008,Expression data of HGF/cMET pathway in prostate cancer DU145 cell line,Homo sapiens,Expression profiling by array,GDS4121,GPL570,6,GSE16659,GSE16659
4009,miR-126 over-expression in highly metastatic LM2 breast cancer cells.,Homo sapiens,Expression profiling by array,NoData,GPL6947 GPL570,8,GSE23905,GSE23905
4010,Human skeletal muscle transcriptional response to exercise,Homo sapiens,Expression profiling by array,GDS4894,GPL570,14,GSE28998,GSE28998
4011,Gene expression profile of myoepithelial progenitor cells,Homo sapiens,Expression profiling by array,,,0,GSE34440,GSE34440
4012,Microarray data for rejuvenation experiments through reprogramming,Homo sapiens,Expression profiling by array,NoData,GPL570,11,GSE27924,GSE27924
4013,Gene Expression Analysis of Stage I Endometrial Cancers,Homo sapiens,Expression profiling by array,GDS4589,GPL570,103,GSE17025,GSE17025
4014,Cell leukostasis during organ-targeted chemotherapy in human retinal endothelial cells and rhesus macaques endothelial cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,16,GSE34389,GSE34389
4015,Melphalan-treated human retinal endothelial cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,8,GSE34381,GSE34381
4016,Carboplatin-treated human retinal endothelial cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,8,GSE34379,GSE34379
4017,Early dynamic transcriptomic changes as predictors of preoperative radiotherapy efficacy in patients with rectal cancer: a feasibility study.,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE26027,GSE26027
4018,Gene Expression Profiling of Peripheral Blood Mononuclear Cells from Children With Active Hemophagocytic Lymphohistiocytosis,Homo sapiens,Expression profiling by array,NoData,GPL570,44,GSE26050,GSE26050
4019,Altered Hematopoietic Cell Gene Expression Precedes Development of Therapy-Related Myelodysplasia and Identifies Patients at Risk,Homo sapiens,Expression profiling by array,NoData,GPL570,124,GSE23025,GSE23025
4020,Virus-induced inflammatory gene networks underlying asthma exacerbations in vivo,Homo sapiens,Expression profiling by array,GDS4424,GPL6244,32,GSE30326,GSE30326
4021,Invasion-mediating genes in breast cancer,Homo sapiens,Expression profiling by array,NoData,GPL570,2,GSE17889,GSE17889
4022,Innate and adaptive immune responses associate with progressive histological damage of renal allografts,Homo sapiens,Expression profiling by array,NoData,GPL570,120,GSE25902,GSE25902
4023,Microarrays analysis of anti-Enterovirus 71 activity of Heparin,Homo sapiens,Expression profiling by array,NoData,GPL6244,12,GSE34234,GSE34234
4024,Expression profile of shikonin resistant K562 cell line,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE34298,GSE34298
4025,Gene expression in primate postnatal brain through lifespan - prefrontal cortex,Pan troglodytes; Macaca mulatta; Homo sapiens,Expression profiling by array,NoData,GPL6244,68,GSE22521,GSE22521
4026,Gene expression in primate postnatal brain through lifespan,Macaca mulatta; Pan troglodytes; Homo sapiens,Expression profiling by array,NoData,GPL6244,130,GSE22570,GSE22570
4027,Gene expression in primate postnatal brain through lifespan - cerebellar cortex,Homo sapiens; Macaca mulatta; Pan troglodytes,Expression profiling by array,NoData,GPL6244,62,GSE22569,GSE22569
4028,A sumoylation-dependent transcriptional subprogram is required for Myc-driven tumorigenesis,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE34055,GSE34055
4029,The effect of androgen deprivation on human prostate xenograft tumor LuCaP35,Homo sapiens,Expression profiling by array,GDS4120,GPL570,10,GSE33316,GSE33316
4030,Down-regulation of PAX2 affects ovarian cancer cell growth and migration,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE30501,GSE30501
4031,Differential gene expression in thrombus-derived white blood cells of patients with acute coronary syndrome,Homo sapiens,Expression profiling by array,NoData,GPL570,8,GSE19339,GSE19339
4032,Clinical significance of UNC5B Expression in Colorectal Cancer,Homo sapiens,Expression profiling by array,NoData,GPL570,38,GSE22598,GSE22598
4033,"Down-regulation of ECRG4, a candidate tumor suppressor gene  in human breast cancer",Homo sapiens,Expression profiling by array,NoData,GPL570,357,GSE31448,GSE31448
4034,Expression data for HIF1alpha-regulated genes in clear cell renal carcinoma cells (ccRCC),Homo sapiens,Expression profiling by array,NoData,GPL6244,20,GSE27415,GSE27415
4035,Inflammatory gene profiling of Ewing sarcoma family of tumors (set B),Homo sapiens,Expression profiling by array,NoData,GPL570,62,GSE17674,GSE17674
4036,Inflammatory gene profiling of Ewing sarcoma family of tumors,Homo sapiens,Expression profiling by array,NoData,GPL570,117,GSE17679,GSE17679
4037,Expression profiling of DNMT1 inhibitors in HCT116 cells,Homo sapiens,Expression profiling by array,NoData,GPL570,24,GSE30985,GSE30985
4038,NOTCH3 knockdown in non-transformed human esophageal cells,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE27424,GSE27424
4039,Peripheral blood leukocyte genomic response one day post traumatic injury may predict early respiratory recovery,Homo sapiens,Expression profiling by array,NoData,GPL570,48,GSE13488,GSE13488
4040,Inflammatory gene profiling of Ewing sarcoma family of tumors (set A),Homo sapiens,Expression profiling by array,NoData,GPL570,55,GSE17618,GSE17618
4041,CD133+ colon cancer cells are more interactive with the tumor microenvironment than CD133- cells,Homo sapiens,Expression profiling by array,GDS4385,GPL570,9,GSE34053,GSE34053
4042,Human bronchial epithelial cells exposed to A. alternata spores,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE32893,GSE32893
4043,Gene Expression Changes Associated with the Progression of Intraductal Papillary Mucinous Neoplasms,Homo sapiens,Expression profiling by array,NoData,GPL5175,28,GSE26647,GSE26647
4044,Optic Vesicle Structures Derived from Human Pluripotent Stem Cells Facilitate a Customized Approach to Retinal Disease Treatment,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE29237,GSE29237
4045,CHAC1 mRNA expression is a strong prognostic biomarker in breast and ovarian cancer,Homo sapiens,Expression profiling by array,GDS4092,GPL570,12,GSE22865,GSE22865
4046,"Expression data from severe asthmatics, mild asthmatics and healthy controls",Homo sapiens,Expression profiling by array,GDS4896,GPL6244,54,GSE27011,GSE27011
4047,Expression data from IFN alpha 2-treated macrophages infected with HIV,Homo sapiens,Expression profiling by array,GDS4232,GPL570,17,GSE30536,GSE30536
4048,The time-course transcriptomic responses of THP-1 human macrophage-like cells  to W-Beijing Mycobacterium tuberculosis strains of different sublineages,Homo sapiens,Expression profiling by array,GDS4258,GPL570,40,GSE29628,GSE29628
4049,Expression profile of human natural killer cells co-cultured with P. falciparum infected erythrocytes,Homo sapiens,Expression profiling by array,NoData,GPL6244,30,GSE24791,GSE24791
4050,Expression profiles of CD24-/CD44+/ESA+ population in MDA-MB-231 and its highly metastatic variants.,Homo sapiens,Expression profiling by array,GDS4091,GPL6244,6,GSE25976,GSE25976
4051,Expression data of interferon-alpha treated Huh-7 cells,Homo sapiens,Expression profiling by array,NoData,GPL570,2,GSE34022,GSE34022
4052,Myocardial transcriptome analysis of human arrhythmogenic right ventricular cardiomyopathy (ARVC),Homo sapiens,Expression profiling by array,NoData,GPL570,38,GSE29819,GSE29819
4053,miRNA profiling in osteosarcoma: a cell line based approach with correlation to gene expression,Homo sapiens,Expression profiling by array,NoData,GPL6244,9,GSE32395,GSE32395
4054,Human acute myelogenous leukemia-initiating cells treated with fenretinide,Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE33243,GSE33243
4055,Donor cell type influences the epigenome and differentiation potential of human induced pluripotent stem cells,Homo sapiens,Expression profiling by array; Methylation profiling by genome tiling array,NoData,GPL13134 GPL13611 GPL570,49,GSE27224,GSE27224
4056,NSD2 links dimethylation of histone H3 at lysine 36 to oncogenic programming,Mus musculus; Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by array,NoData,GPL6885 GPL9115 GPL6947,25,GSE29305,GSE29305
4057,KSHV regulation of gene expression in the human endothelial cell line EAHY,Homo sapiens,Expression profiling by array,NoData,GPL570,2,GSE33984,GSE33984
4058,Deciphering the Wnt-dependent gene signature in colorectal cancer cells,Homo sapiens,Expression profiling by array,GDS4386,GPL570,12,GSE18560,GSE18560
4059,Expression data of human somatic cell types and induced pluripotent stem cells,Homo sapiens,Expression profiling by array,NoData,GPL570,8,GSE27186,GSE27186
4060,EZH2 mutations can be detected in 23% of PICALM-MLLT10 (CALM-AF10) positive acute leukemias,Homo sapiens,Expression profiling by array,GDS4300,GPL570,29,GSE30599,GSE30599
4061,Identification of a Potential Ovarian Cancer Stem Cell Gene Expression Profile from Advanced Stage Papillary Serous Ovarian Cancer,Homo sapiens,Expression profiling by array,NoData,GPL570,20,GSE33874,GSE33874
4062,Gene expression profiling in myelodysplastic syndromes,Homo sapiens,Expression profiling by array,NoData,GPL570,19,GSE30195,GSE30195
4063,VDR/RXR and TCF4/beta-Catenin Cistromes in Colonic Cells of Colorectal Tumor Origin: Impact on c-FOS and c-MYC Gene Expression,Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by array,NoData,GPL11219 GPL10999,19,GSE31939,GSE31939
4064,Effect of butyrate and DZNep on hESC HSF-6,Homo sapiens,Expression profiling by array,NoData,GPL570,9,GSE33864,GSE33864
4065,Mesenchymal Stem Cells Transfer Mitochondria to the Cells with Virtually Absent Mitochondrial Function but Not to the Cells Harboring Pathogenic Mitochondrial DNA Mutations,Homo sapiens,Expression profiling by array,NoData,GPL570,15,GSE33831,GSE33831
4066,Isolation and in vitro expansion of human colonic stem cells,Homo sapiens,Expression profiling by array; Genome variation profiling by genome tiling array,NoData,GPL570 GPL14120,15,GSE31257,GSE31257
4067,Isolation and in vitro expansion of human colonic stem cells [Expression profile],Homo sapiens,Expression profiling by array,NoData,GPL570,11,GSE31255,GSE31255
4068,CRC samples for FOLFOX therapy prediction,Homo sapiens,Expression profiling by array,NoData,NoData,83,GSE28702,GSE28702
4069,Comparison of two hepatocellular cancer cell lines with distinct properties regarding epithelial-mesenchymal transition,Homo sapiens,Expression profiling by array,NoData,GPL6244,8,GSE26391,GSE26391
4070,Expression data of tumor and non-tumor samples from patients with esophageal cancer,Homo sapiens,Expression profiling by array,NoData,GPL570,3,GSE33810,GSE33810
4071,A Systematic Substrate Screen Links Cyclin D-Dependent Kinases to Senescence Suppression in Cancer Cells through FOXM1,Homo sapiens,Expression profiling by array,NoData,GPL5175,10,GSE32182,GSE32182
4072,Seminal fluid induces cytokine and chemokine mRNA expression in the human cervix after coitus,Homo sapiens,Expression profiling by array,NoData,GPL6244,6,GSE33745,GSE33745
4073,Melanoma cell culture phenotypes,Homo sapiens,Expression profiling by array,NoData,GPL570,15,GSE33728,GSE33728
4074,"Gene expression profile of THP-1 monocytes following knockdown of DAP12, a causative gene for Nasu-Hakola disease",Homo sapiens,Expression profiling by array,NoData,GPL6244,3,GSE33500,GSE33500
4075,Gene expression profile of DAP12 knockdown THP-1 cells following exposure to phorbol 12-myristate 13-acetate ,Homo sapiens,Expression profiling by array,GDS4137,GPL6244,4,GSE33503,GSE33503
4076,microRNA Targetome Analysis of Latently KSHV-infected Primary Effusion Lymphoma Cell lines Using PAR-CLIP,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by high throughput sequencing; Third-party reanalysis,NoData,GPL5770 GPL6244 GPL9115,20,GSE32113,GSE32113
4077,Primary effusion lymphoma cell lines BC-1 and BC-3,Homo sapiens,Expression profiling by array,NoData,GPL6244,2,GSE31745,GSE31745
4078,Expression data of NCI-H441 cells stably expressing hsa-mir-365-2 vs empty vector,Homo sapiens,Expression profiling by array,NoData,GPL6244,4,GSE33672,GSE33672
4079,Histone deacetylase inhibition decreases proliferation and potentiates the effect of ionizing radiation in atypical teratoid/rhabdoid tumor cells,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE31122,GSE31122
4080,"Perivascular Human Endometrial Mesenchymal Stem Cells Express Pathways Relevant to Self-Renewal, Lineage Specification, and Functional Phenotype",Homo sapiens,Expression profiling by array,NoData,GPL6244,15,GSE31152,GSE31152
4081,Time kinetics of gene expression in NK92 cells after Plasmodium falciparum-iRBC encounter,Homo sapiens,Expression profiling by array,NoData,GPL6244,21,GSE26876,GSE26876
4082,Vaginal epithelial gene expression in postmenopausal women suffering from vaginal dryness,Homo sapiens,Expression profiling by array,GDS3941,GPL6244,10,GSE26761,GSE26761
4083,Gene expression changes in human hepatocytes exposed to VX (O-ethyl S-[2-(diisopropylamino)ethyl] methylphosphonothiolate),Homo sapiens,Expression profiling by array,GDS3998,GPL570,15,GSE33606,GSE33606
4084,Expression data from human bone marrow hematopoietic stem cells,Homo sapiens,Expression profiling by array,GDS3942,GPL570,27,GSE32719,GSE32719
4085,Microarray expression analysis in idiopathic and LRRK2-associated Parkinson's disease,Homo sapiens,Expression profiling by array,NoData,GPL5175,14,GSE23290,GSE23290
4086,Endothelial cells present an innate resistance to glucocorticoid treatment: implications for therapy of primary vasculitis,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE25269,GSE25269
4087,Expression data from human keratinocyte and PBMC-derived iPS cells,Homo sapiens,Expression profiling by array,NoData,GPL570,9,GSE33536,GSE33536
4088,Preclinical analysis of the gamma secretase inhibitor PF-030840214 in combination with glucocorticoids in T-cell acute lymphoblastic leukemia,Homo sapiens,Expression profiling by array,NoData,GPL570,8,GSE33562,GSE33562
4089,Tumor-specific retargeting of an oncogenic transcription factor chimera results in dysregulation of chromatin and transcription,Homo sapiens,Expression profiling by array; Genome binding/occupancy profiling by high throughput sequencing,NoData,GPL10999 GPL5188,32,GSE31838,GSE31838
4090,Reverse engineering of TLX oncogenic transcriptional networks identifies RUNX1 as tumor suppressor in T-ALL,Mus musculus; Homo sapiens,Expression profiling by array,NoData,GPL8321 GPL570,67,GSE33550,GSE33550
4091,Expression data obtained from HPBALL cell line,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE33540,GSE33540
4092,Expression data obtained from ALLSIL cell line,Homo sapiens,Expression profiling by array,NoData,GPL570,4,GSE33539,GSE33539
4093,Human Monocytes to M-CSF differentiated Macrophages,Homo sapiens,Expression profiling by array,NoData,GPL570 GPL96,14,GSE9801,GSE9801
4094,Genome-wide binding map of the HIV Tat protein to the human genome,Homo sapiens,Expression profiling by array; Genome binding/occupancy profiling by genome tiling array; Genome binding/occupancy profiling by high throughput sequencing,NoData,GPL7031 GPL9115 GPL7032,5,GSE30739,GSE30739
4095,Methylation of Cancer Stem Cell-associated Wnt target genes predicts poor prognosis in colorectal cancer patients,Homo sapiens,Expression profiling by array,NoData,GPL570,108,GSE33114,GSE33114
4096,AMC colon cancer AJCCII,Homo sapiens,Expression profiling by array,NoData,GPL570,96,GSE33113,GSE33113
4097,Gene expression in colon cancer stem cells (CSC) cultures identified by Wnt signaling levels,Homo sapiens,Expression profiling by array,NoData,GPL570,12,GSE33112,GSE33112
4098,Microarray analysis of gene expression profiles in response to tomato leaves extract treatment in MCF-7 breast cancer cells,Homo sapiens,Expression profiling by array,NoData,GPL6244,9,GSE33443,GSE33443
4099,Gene expression analysis of osteosarcoma tumor-initiating cells (High) vs bulk tumor cells (Low),Homo sapiens,Expression profiling by array,NoData,GPL570,18,GSE33458,GSE33458
4100,Expression data from five human leukemia cell lines treated with DMSO or tanshinone IIA,Homo sapiens,Expression profiling by array,NoData,GPL570,7,GSE33358,GSE33358
4101,"Beta-catenin status effects in human adrenocortical carcinomas (33), adenomas (22), and normal adrenal cortex (10)",Homo sapiens,Expression profiling by array,NoData,GPL570,65,GSE33371,GSE33371
4102,OXPHOS complex I deficiency leads to transcriptional changes of the Nrf2-Keap1 pathway and selenoproteins.,Homo sapiens,Expression profiling by array,NoData,GPL570,20,GSE27041,GSE27041
4103,The leukemia-specific fusion gene ETV6/RUNX1 perturbs distinct key biological functions primarily by gene repression,Homo sapiens,Expression profiling by array,GDS4298,GPL570,10,GSE29639,GSE29639
4104,mRNAs associated with human DAZ-interacting protein (DZIP1),Homo sapiens,Expression profiling by array,NoData,GPL570,6,GSE28882,GSE28882
4105,18F-fluorodeoxy-glucose positron emission tomography marks MYC-overexpressing human basal-like breast cancers.,Homo sapiens,Expression profiling by array,NoData,GPL96 GPL570,33,GSE21217,GSE21217
4106,Genome-wide consequences of compromised NMD and their relavence for variable clinical phenotype of patients with UPF3B mutations [mRNA profiling],Homo sapiens,Expression profiling by array,NoData,GPL5175 GPL13135 GPL9115,32,GSE27125,GSE27125
4107,Gene Copy Number Aberrations are Associated with Survival in Histological Subgroups of Non-Small Cell Lung Cancer,Homo sapiens,Expression profiling by array; Genome variation profiling by SNP array,NoData,GPL3718 GPL570,201,GSE28582,GSE28582
4108,High Myc activity is an independent negative prognostic factor for diffuse large B cell lymphomas,Homo sapiens,Expression profiling by array,NoData,GPL570,22,GSE31311,GSE31311
4109,Gene expression in synovial membranes from patients with early and end-stage osteoarthritis,Homo sapiens,Expression profiling by array; Third-party reanalysis,NoData,GPL570,19,GSE32317,GSE32317
4110,Development and Validation of a Novel Molecular Biomarker Diagnostic Test for the Early Detection of Sepsis,Homo sapiens,Expression profiling by array,NoData,GPL570,41,GSE28750,GSE28750
4111,Gene expression data for pathological stage I-II lung adenocarcinomas,Homo sapiens,Expression profiling by array,NoData,GPL570,246,GSE31210,GSE31210
4112,Control of oxidative stress by miRNA and impact on ovarian tumorigenesis,Homo sapiens,Expression profiling by array,NoData,GPL570,107,GSE26193,GSE26193
4113,Validated Gene Expression Signatures of Idiopathic Pulmonary Fibrosis,Homo sapiens,Expression profiling by array,GDS4279,GPL570,23,GSE24206,GSE24206
4114,Oxygen induced complication of prematurity: from experimental data to prevention strategy,Homo sapiens,Expression profiling by array,NoData,GPL6244,299,GSE32472,GSE32472
4115,Transcriptional Profile of Aging in Healthy Human Skin,Homo sapiens,Expression profiling by array,NoData,GPL5175,98,GSE18876,GSE18876
