num, name, organism, type, Dataset, Platforms, samples, series
823,"Allergic contact dermatitis: time course","Homo sapiens","Expression profiling by array, transformed count, 2 agent, 2 disease state, 12 individual, 4 time sets","GDS2935","GPL570",34,"GSE6281"
824,"Gingival epithelial cell line response to commensal and opportunistic oral microbial species","Homo sapiens","Expression profiling by array, count, 3 infection sets","GDS2933","GPL96",12,"GSE6927"
825,"TGF-beta effect on normal and tumor cell lines: time course","Homo sapiens","Expression profiling by array, log2 ratio, 2 cell line, 3 time sets","GDS2932","GPL3515",12,"GSE7436"
826,"Rheumatoid arthritis and osteoarthritis: synovial fibroblasts","Homo sapiens","Expression profiling by array, count, 2 other sets","GDS2931","GPL8300",12,"GSE7669"
827,"Cis-urocanic acid effect on keratinocytes","Homo sapiens","Expression profiling by array, count, 4 agent, 2 individual sets","GDS2930","GPL96",8,"GSE8760"
828,"Megakaryocytic differentiation: time course","Homo sapiens","Expression profiling by array, log e ratio, 4 agent, 2 cell line, 13 time sets","GDS2926","GPL887",77,"GSE8914"
829,"Ascending aortic aneurysms","Homo sapiens","Expression profiling by array, count, 2 specimen sets","GDS2922","GPL96",25,"GSE5180"
830,"Wilms' tumor suppressor (WT1) targets: time course","Homo sapiens","Expression profiling by array, count, 2 protocol, 4 time sets","GDS2921","GPL96",4,"GSE5117"
831,"Testosterone effect on skeletal muscles of HIV-infected males experiencing weight loss","Homo sapiens","Expression profiling by array, count, 2 agent sets","GDS2920","GPL571",19,"GSE5106"
832,"Tremorogenic chemical harmane effect on astrocytes","Homo sapiens","Expression profiling by array, count, 2 agent sets","GDS2919","GPL570",6,"GSE5080"
833,"Colorectal cancer markers in plasma","Homo sapiens","Expression profiling by array, log ratio, 2 disease state sets","GDS2918","GPL3014",20,"GSE4988"
834,"T-cell prolymphocytic leukemia with inv(14)(q11q32)","Homo sapiens","Expression profiling by array, count, 2 disease state, 2 genotype/variation sets","GDS2908","GPL96",14,"GSE5788"
835,"Hematopoietic stem cell response to uridine triphosphate: time course","Homo sapiens","Expression profiling by array, count, 2 agent, 3 time sets","GDS2904","GPL96",6,"GSE3005"
836,"Hypoxia and lymphathic endothelial cells","Homo sapiens","Expression profiling by array, transformed count, 4 protocol sets","GDS2902","GPL570",4,"GSE5579"
837,"Optineurin depletion ","Homo sapiens","Expression profiling by array, transformed count, 2 protocol sets","GDS2892","GPL570",6,"GSE6819"
838,"Air pollutant and oxidized lipid effect on microvascular endothelial cells: dose response","Homo sapiens","Expression profiling by array, count, 4 agent, 9 dose sets","GDS2889","GPL2700",27,"GSE6584"
839,"Moderate stage Huntington's disease lymphocytes","Homo sapiens","Expression profiling by array, transformed count, 2 disease state, 2 gender sets","GDS2887","GPL570",22,"GSE8762"
840,"LEDGF/p75 transcription factor deficiency effect on T-cell line","Homo sapiens","Expression profiling by array, count, 2 cell line sets","GDS2883","GPL570",6,"GSE7508"
841,"Clear cell renal cell carcinoma (HB-U133B)","Homo sapiens","Expression profiling by array, count, 3 disease state, 10 individual sets","GDS2881","GPL97",20,"GSE6344"
842,"Clear cell renal cell carcinoma (HG-U133A)","Homo sapiens","Expression profiling by array, count, 3 disease state, 10 individual sets","GDS2880","GPL96",20,"GSE6344"
843,"Inadequate dietary protein intake effect on the skeletal muscle","Homo sapiens","Expression profiling by array, count, 2 gender, 11 individual, 2 protocol sets","GDS2868","GPL96",22,"GSE8441"
844,"TAp63alpha-Q540L mutant protein expression","Homo sapiens","Expression profiling by array, transformed count, 2 genotype/variation, 2 protocol sets","GDS2867","GPL570",11,"GSE8646"
845,"Monocyte-derived macrophages of chronic obstructive pulmonary disease patients response to fine and ultrafine particles","Homo sapiens","Expression profiling by array, transformed count, 3 agent, 2 disease state sets","GDS2866","GPL570",6,"GSE8608"
846,"Metastatic prostate tumor model","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS2865","GPL96",6,"GSE7930"
847,"RhoGDIbeta depletion effect on breast cancer cell line","Homo sapiens","Expression profiling by array, count, 2 protocol sets","GDS2864","GPL96",6,"GSE8087"
848,"X-Box binding protein overexpression effect on breast cancer cell line","Homo sapiens","Expression profiling by array, transformed count, 2 protocol sets","GDS2861","GPL96",6,"GSE8562"
849,"Aldosterone-producing adeonoma","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS2860","GPL570",15,"GSE8514"
850,"Myeloid-related protein 8 and 14 effect on microvascular endothelial cells","Homo sapiens","Expression profiling by array, count, 2 agent sets","GDS2858","GPL8300",8,"GSE5474"
851,"Peripheral blood-derived monocytes response to lipopolysaccharide: time course","Homo sapiens","Expression profiling by array, transformed count, 2 agent, 5 time sets","GDS2856","GPL570",10,"GSE5504"
852,"Various muscle diseases (HG-U133B)","Homo sapiens","Expression profiling by array, count, 11 disease state sets","GDS2855","GPL97",119,"GSE3307"
853,"Low and high grade astrocytomas","Homo sapiens","Expression profiling by array, count, 3 disease state, 2 other sets","GDS2853","GPL8300",16,"GSE3185"
854,"Interleukin 13 effect on bronchial cell line: time course","Homo sapiens","Expression profiling by array, count, 2 agent, 4 time sets","GDS2852","GPL96",15,"GSE3183"
855,"Anisomycin effect on leukemia cell line: time course","Homo sapiens","Expression profiling by array, count, 5 time sets","GDS2847","GPL96",5,"GSE8229"
856,"Testicular seminoma progression","Homo sapiens","Expression profiling by array, count, 4 disease state sets","GDS2842","GPL8300",43,"GSE8607"
857,"Abdominal aortic aneurysm","Homo sapiens","Expression profiling by array, transformed count, 2 disease state, 2 gender sets","GDS2838","GPL570",4,"GSE7084"
858,"Ovarian endometriosis","Homo sapiens","Expression profiling by array, count, 2 disease state, 10 individual sets","GDS2835","GPL570",20,"GSE7305"
859,"Polyomavirus JCV resistant glial cell line (HG-U133B)","Homo sapiens","Expression profiling by array, count, 2 cell type sets","GDS2834","GPL97",6,"GSE7819"
860,"Polyomavirus JCV resistant glial cell line (HG-U133A)","Homo sapiens","Expression profiling by array, count, 2 cell type sets","GDS2833","GPL96",6,"GSE7819"
861,"Sphingosine-1-phosphate effect on embryonic stem cells","Homo sapiens","Expression profiling by array, count, 2 agent, 2 growth protocol sets","GDS2832","GPL570",8,"GSE7896"
862,"Primary graft dysfunction after lung transplantation","Homo sapiens","Expression profiling by array, transformed count, 2 disease state sets","GDS2831","GPL5356",50,"GSE8021"
863,"ERalpha-negative ERbeta-positive breast carcinoma response to tamoxifen","Homo sapiens","Expression profiling by array, log2 ratio, 6 specimen sets","GDS2827","GPL3883",88,"GSE6577"
864,"Autism, fragile X syndrome, and 15q11-q13 duplication: lymphoblastoid cells","Homo sapiens","Expression profiling by array, log ratio, 2 disease state, 3 genotype/variation sets","GDS2824","GPL1708",30,"GSE7329"
865,"Placental malaria","Homo sapiens","Expression profiling by array, transformed count, 3 disease state, 3 infection, 2 other sets","GDS2822","GPL570",20,"GSE7586"
866,"Parkinson's disease: substantia nigra","Homo sapiens","Expression profiling by array, count, 2 disease state, 2 gender sets","GDS2821","GPL570",25,"GSE7621"
867,"Leukemic white blood cells and various RNA preparation protocols","Homo sapiens","Expression profiling by array, count, 9 disease state, 27 individual, 3 protocol sets","GDS2819","GPL570",99,"GSE7757"
868,"Organized and growth-arrested mammary acini: time course","Homo sapiens","Expression profiling by array, transformed count, 2 cell line, 2 other, 3 time sets","GDS2810","GPL96",12,"GSE8096"
869,"Sepsis: neutrophils","Homo sapiens","Expression profiling by array, log ratio, 2 disease state, 2 protocol sets","GDS2808","GPL4274",94,"GSE5772"
870,"Alzheimer's disease: neurofibrillary tangles","Homo sapiens","Expression profiling by array, count, 2 disease state, 10 individual sets","GDS2795","GPL570",20,"GSE4757"
871,"T-cell acute lymphoblastic leukemia cell line response to Notch receptor inhibition","Homo sapiens","Expression profiling by array, count, 2 protocol sets","GDS2794","GPL570",6,"GSE6495"
872,"Skeletal muscle response to insulin infusion (HG-U133A)","Homo sapiens","Expression profiling by array, count, 2 agent sets","GDS2791","GPL96",12,"GSE7146"
873,"Skeletal muscle response to insulin infusion (HuGeneFL)","Homo sapiens","Expression profiling by array, count, 2 agent sets","GDS2790","GPL80",12,"GSE7146"
874,"LIM homeobox protein cofactor dominant negative form effect on breast cancer cell line","Homo sapiens","Expression profiling by array, count, 2 protocol sets","GDS2789","GPL570",6,"GSE7382"
875,"LIM-only protein 4 induction effect on breast cancer cell line (HG-U133B)","Homo sapiens","Expression profiling by array, count, 2 protocol sets","GDS2788","GPL97",6,"GSE7382"
876,"LIM-only protein 4 induction effect on breast cancer cell line (HG-U133A)","Homo sapiens","Expression profiling by array, count, 2 protocol sets","GDS2787","GPL96",6,"GSE7382"
877,"Ovarian cancer tumors after neo-adjuvant chemotherapy","Homo sapiens","Expression profiling by array, transformed count, 2 disease state, 2 protocol sets","GDS2785","GPL8300",43,"GSE7463"
878,"Androgen response element specific DNA-binding polyamide effect on dihydrotestoterone-stimulated prostate cell line","Homo sapiens","Expression profiling by array, count, 5 agent sets","GDS2782","GPL570",14,"GSE7708"
879,"Nonsense mediated decay factor UPF1 depletion","Homo sapiens","Expression profiling by array, count, 2 protocol sets","GDS2781","GPL96",6,"GSE7009"
880,"Heavy metals effect on liver cell line","Homo sapiens","Expression profiling by array, count, 10 agent, 3 other sets","GDS2780","GPL201",30,"GSE6907"
881,"Lymphoblastoid cell lines from monozygotic twin pairs discordant for bipolar disorder","Homo sapiens","Expression profiling by array, count, 2 disease state, 3 other sets","GDS2779","GPL570",6,"GSE7036"
882,"1,2,4-benzenetriol effect on peripheral blood mononuclear cells in vitro","Homo sapiens","Expression profiling by array, transformed count, 2 agent sets","GDS2778","GPL571",16,"GSE7664"
883,"Bexarotene effect on gemcitabine resistant non-small lung cancer cell line","Homo sapiens","Expression profiling by array, count, 5 agent, 2 cell line sets","GDS2777","GPL96",20,"GSE6914"
884,"Sevoflurane and propofol effect on the heart during off-pump coronary artery bypass graft surgery","Homo sapiens","Expression profiling by array, count, 4 agent, 20 individual sets","GDS2772","GPL570",40,"GSE4386"
885,"Large airway epithelial cells from cigarette smokers with suspect lung cancer","Homo sapiens","Expression profiling by array, transformed count, 3 disease state sets","GDS2771","GPL96",192,"GSE4115"
886,"Estrogen effect on breast cancer cell line coexpressing estrogen receptors alpha and beta","Homo sapiens","Expression profiling by array, count, 2 agent, 3 infection sets","GDS2770","GPL96",12,"GSE4006"
887,"Blood response to various beverages: time course","Homo sapiens","Expression profiling by array, transformed count, 4 agent, 6 individual, 5 time sets","GDS2767","GPL96",108,"GSE3846"
888,"Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy: dendritic cells","Homo sapiens","Expression profiling by array, count, 2 disease state, 3 genotype/variation sets","GDS2763","GPL96",8,"GSE3624"
889,"Hypoxia-inducible factor depletion (Human-6 BeadChip)","Homo sapiens","Expression profiling by array, count, 4 protocol sets","GDS2761","GPL2507",12,"GSE3188"
890,"Hypoxia-inducible factor depletion  (HG-U133 2.0)","Homo sapiens","Expression profiling by array, count, 4 protocol sets","GDS2760","GPL570",12,"GSE3188"
891,"Hypoxia and 2-oxoglutrate-dependent dioxygenase inhibition (Human-6 BeadChip)","Homo sapiens","Expression profiling by array, transformed count, 3 protocol sets","GDS2759","GPL2507",6,"GSE3188"
892,"Hypoxia and 2-oxoglutrate-dependent dioxygenase inhibition (HG-U133A)","Homo sapiens","Expression profiling by array, count, 3 protocol sets","GDS2758","GPL96",9,"GSE3188"
893,"Measles: peripheral blood mononuclear cells","Homo sapiens","Expression profiling by array, transformed count, 2 infection, 4 protocol sets","GDS2756","GPL96",18,"GSE5808"
894,"miR-34 overexpression","Homo sapiens","Expression profiling by array, count, 2 protocol sets","GDS2755","GPL570",4,"GSE7754"
895,"Exhaustive exercise effect on peripheral blood mononuclear cells and T lymphocytes","Homo sapiens","Expression profiling by array, count, 2 cell type, 3 individual, 2 protocol sets","GDS2754","GPL571",12,"GSE6053"
896,"Immature dendritic cell response to hypoxia in vitro","Homo sapiens","Expression profiling by array, count, 2 stress sets","GDS2750","GPL570",6,"GSE6863"
897,"Immature dendritic cell response to Aspergillus fumigatus infection in vitro","Homo sapiens","Expression profiling by array, transformed count, 2 individual, 2 infection sets","GDS2749","GPL570",4,"GSE6965"
898,"Dioxin effect on breast cancer cell line (HG-U133B)","Homo sapiens","Expression profiling by array, count, 2 agent sets","GDS2745","GPL97",6,"GSE7765"
899,"Dioxin effect on breast cancer cell line (HG-U133A)","Homo sapiens","Expression profiling by array, count, 2 agent sets","GDS2744","GPL96",6,"GSE7765"
900,"Lengthening and shortening contractions effect on the muscle: time course","Homo sapiens","Expression profiling by array, count, 3 individual, 2 protocol, 4 time sets","GDS2740","GPL246",24,"GSE7286"
901,"Hyperplastic enlarged lobular units: epithelial cells","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS2739","GPL1352",16,"GSE7377"
902,"Endometriosis","Homo sapiens","Expression profiling by array, count, 2 disease state, 3 other sets","GDS2737","GPL570",37,"GSE6364"
903,"Malignant fibrous histiocytoma and various soft tissue sarcomas","Homo sapiens","Expression profiling by array, count, 10 disease state sets","GDS2736","GPL96",105,"GSE6481"
904,"Metastatic melanoma: peripheral blood lymphocytes","Homo sapiens","Expression profiling by array, log2 ratio, 4 cell type, 2 disease state sets","GDS2735","GPL887",46,"GSE6887"
905,"Cytosine arabinoside effect on Ewing's sarcoma cell line: time course and dose response","Homo sapiens","Expression profiling by array, count, 4 agent, 3 dose, 3 time sets","GDS2733","GPL4685",68,"GSE6930"
906,"2-(3,4,5-trimethoxyphenylamino)-pyrrolo[2,3-d]pyrimidine effect on epidermal keratinocytes: time course","Homo sapiens","Expression profiling by array, count, 2 agent, 5 time sets","GDS2732","GPL96",18,"GSE6932"
907,"Cyclophosphamide-resistant chronic myelogenous leukemia cell line ","Homo sapiens","Expression profiling by array, count, 2 cell line sets","GDS2729","GPL8300",10,"GSE7114"
908,"CD133+ and CD133- glioblastoma-derived cancer stem cell lines","Homo sapiens","Expression profiling by array, count, 2 cell line sets","GDS2728","GPL570",6,"GSE7181"
909,"Transcriptional regulators Bmi-1 and Mel-18 depletion effect on medulloblastoma cell line","Homo sapiens","Expression profiling by array, count, 5 protocol sets","GDS2724","GPL570",15,"GSE7578"
910,"Primary immunodeficiency syndrome: B cells","Homo sapiens","Expression profiling by array, count, 2 disease state, 4 individual sets","GDS2723","GPL96",4,"GSE6322"
911,"Philadelphia chromosome positive acute lymphoblastic leukemia cell lines response to imatinib mesylate","Homo sapiens","Expression profiling by array, count, 2 agent, 2 cell line sets","GDS2706","GPL571",4,"GSE7182"
912,"PPARgamma agonist and platinum-based drug effect on adenocarcinoma cell line","Homo sapiens","Expression profiling by array, count, 4 agent sets","GDS2705","GPL96",8,"GSE7035"
913,"Teratozoospermia (HG-U133 2.0 )","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS2697","GPL570",21,"GSE6872"
914,"Teratozoospermia (Human-6 BeadChip)","Homo sapiens","Expression profiling by array, transformed count, 2 disease state sets","GDS2696","GPL2507",13,"GSE6967"
915,"Teratozoospermia (HumanRef-8 BeadChip)","Homo sapiens","Expression profiling by array, transformed count, 2 disease state sets","GDS2695","GPL2700",10,"GSE6968"
916,"Conjunctiva and cornea comparison","Homo sapiens","Expression profiling by array, count, 2 tissue sets","GDS2682","GPL96",6,"GSE5543"
917,"Brain regions of humans and chimpanzees","Pan troglodytes; Homo sapiens","Expression profiling by array, count, 2 species, 12 tissue sets","GDS2678","GPL8300",37,"GSE7540"
918,"CD38-positive and CD38-negative chronic lymphocytic leukemia cells","Homo sapiens","Expression profiling by array, count, 2 cell type, 6 individual sets","GDS2676","GPL571",12,"GSE6321"
919,"miR-124 overexpression: time course","Homo sapiens","Expression profiling by array, transformed count, 2 protocol, 7 time sets","GDS2657","GPL570",14,"GSE6207"
920,"Fetal and adult reticulocytes (HG-U133B)","Homo sapiens","Expression profiling by array, count, 2 development stage sets","GDS2656","GPL97",28,"GSE6236"
921,"Fetal and adult reticulocytes (HG-U133A)","Homo sapiens","Expression profiling by array, count, 2 development stage sets","GDS2655","GPL96",28,"GSE6236"
922,"Sequestosome 1 and dipeptidylpeptidase III overexpression effect on neuroblastoma cell line","Homo sapiens","Expression profiling by array, count, 3 protocol sets","GDS2653","GPL570",6,"GSE6451"
923,"Neonatal brain response to docosahexaenoic acid supplemented formulas","Papio anubis; Homo sapiens","Expression profiling by array, count, 3 agent sets","GDS2652","GPL570",12,"GSE6519"
924,"HIV infection effect on CD4+ and CD8+ T cells","Homo sapiens","Expression profiling by array, count, 2 cell type, 4 disease state sets","GDS2649","GPL96",40,"GSE6740"
925,"Waldenstrom's macroglobulinemia: B lymphocytes and plasma cells","Homo sapiens","Expression profiling by array, transformed count, 2 cell type, 4 disease state sets","GDS2643","GPL96",56,"GSE6691"
926,"Crohn's disease and ulcerative colitis","Homo sapiens","Expression profiling by array, transformed count, 5 disease state, 3 specimen sets","GDS2642","GPL8300",36,"GSE6731"
927,"Invasive ductal and lobular breast carcinomas","Homo sapiens","Expression profiling by array, count, 4 disease state sets","GDS2635","GPL570",30,"GSE5764"
928,"Vitamin D effect on bronchial smooth muscle cells","Homo sapiens","Expression profiling by array, transformed count, 2 agent sets","GDS2628","GPL570",6,"GSE5145"
929,"Epidermal growth factor and heregulin effect on breast cancer cell line: dose response and time course","Homo sapiens","Expression profiling by array, count, 4 agent, 5 dose, 8 time sets","GDS2626","GPL571",57,"GSE6462"
930,"Epidermal growth factor effect on cervical carcinoma cell line: time course","Homo sapiens","Expression profiling by array, count, 2 agent, 7 time sets","GDS2623","GPL96",7,"GSE6783"
931,"Epidermal growth factor effect on mammary epithelial cell line: time course","Homo sapiens","Expression profiling by array, count, 2 agent, 7 time sets","GDS2622","GPL571",13,"GSE6784"
932,"Tumorigenic breast cancer cells (HG-U133B)","Homo sapiens","Expression profiling by array, count, 3 disease state sets","GDS2618","GPL97",12,"GSE6883"
933,"Tumorigenic breast cancer cells (HG-U133A)","Homo sapiens","Expression profiling by array, count, 3 disease state sets","GDS2617","GPL96",12,"GSE6883"
934,"Mucociliary differentiation of airway epithelial cells","Homo sapiens","Expression profiling by array, count, 3 individual, 11 time sets","GDS2615","GPL570",30,"GSE5264"
935,"Rett syndrome: brain frontal cortex","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS2613","GPL8300",6,"GSE6955"
936,"Interleukin-20 subfamily cytokines effect on epidermal keratinocytes","Homo sapiens","Expression profiling by array, count, 9 agent, 2 other sets","GDS2611","GPL570",25,"GSE7216"
937,"Early onset colorectal cancer: normal-appearing colonic mucosa","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS2609","GPL570",22,"GSE4107"
938,"Bronchial epithelial cell line response to various airway pathogens","Homo sapiens","Expression profiling by array, count, 4 agent sets","GDS2606","GPL571",11,"GSE6802"
939,"Asbestos effect on epithelial and mesothelial lung cell lines: time course","Homo sapiens","Expression profiling by array, count, 2 agent, 3 cell line, 2 cell type, 6 time sets","GDS2604","GPL570",27,"GSE6013"
940,"Arsenite and p53 effect on G2 synchronized fibroblasts","Homo sapiens","Expression profiling by array, count, 2 agent, 2 protocol sets","GDS2603","GPL8300",16,"GSE7101"
941,"Alzheimer blood mononuclear cells","Homo sapiens","Expression profiling by array, transformed count, 2 disease state, 2 gender sets","GDS2601","GPL1211",28,"GSE4226"
942,"Far-upstream element binding protein inactivation","Homo sapiens","Expression profiling by array, log2 ratio, 3 protocol sets","GDS2573","GPL3779",6,"GSE4914"
943,"Endothelial cell response to ultrafine particles","Homo sapiens","Expression profiling by array, count, 2 agent sets","GDS2565","GPL570",8,"GSE4567"
944,"Cigarette smoking effect on T lymphocytes","Homo sapiens","Expression profiling by array, count, 2 specimen sets","GDS2563","GPL571",5,"GSE4806"
945,"Preeclampsia: uteroplacental tissues","Homo sapiens","Expression profiling by array, count, 2 disease state, 3 tissue sets","GDS2548","GPL570",6,"GSE6573"
946,"Metastatic prostate cancer (HG-U95C)","Homo sapiens","Expression profiling by array, count, 4 tissue sets","GDS2547","GPL93",164,"GSE6919"
947,"Metastatic prostate cancer (HG-U95B)","Homo sapiens","Expression profiling by array, count, 4 tissue sets","GDS2546","GPL92",167,"GSE6919"
948,"Metastatic prostate cancer (HG-U95A)","Homo sapiens","Expression profiling by array, count, 4 tissue sets","GDS2545","GPL8300",171,"GSE6919"
949,"Nickel effect on endothelial cells","Homo sapiens","Expression profiling by array, count, 2 agent sets","GDS2536","GPL96",8,"GSE4852"
950,"Vanadium pentoxide effect on lung fibroblasts: time course","Homo sapiens","Expression profiling by array, transformed count, 3 agent, 5 time sets","GDS2535","GPL571",45,"GSE5339"
951,"p63 depletion effect","Homo sapiens","Expression profiling by array, count, 2 protocol sets","GDS2534","GPL570",6,"GSE5993"
952,"Retinoblastomas with loss of heterozygosity at chromosome 16q","Homo sapiens","Expression profiling by array, count, 2 genotype/variation sets","GDS2530","GPL96",12,"GSE5222"
953,"Basal plate of the placenta from midgestation to term (HG-U133B)","Homo sapiens","Expression profiling by array, transformed count, 12 age, 2 development stage sets","GDS2529","GPL97",36,"GSE5999"
954,"Basal plate of the placenta from midgestation to term (HG-U133A)","Homo sapiens","Expression profiling by array, transformed count, 12 age, 2 development stage sets","GDS2528","GPL96",36,"GSE5999"
955,"c-MYC depletion effect on carcinoma cell lines","Homo sapiens","Expression profiling by array, count, 4 cell line, 2 other, 2 protocol sets","GDS2526","GPL570",18,"GSE5823"
956,"Head and neck squamous cell carcinoma","Homo sapiens","Expression profiling by array, count, 2 disease state, 22 individual sets","GDS2520","GPL8300",44,"GSE6631"
957,"Early-stage Parkinson's disease: whole blood","Homo sapiens","Expression profiling by array, count, 3 disease state sets","GDS2519","GPL96",105,"GSE6613"
958,"Psoriatic plaques","Homo sapiens","Expression profiling by array, count, 2 disease state, 13 individual sets","GDS2518","GPL96",26,"GSE6710"
959,"Interferons effect on endothelial cells","Homo sapiens","Expression profiling by array, transformed count, 4 agent, 2 cell type sets","GDS2516","GPL96",23,"GSE3920"
960,"Nicotinamide effect on thrombopoietin-induced megakaryocyte differentiation in vitro","Homo sapiens","Expression profiling by array, log e ratio, 3 agent, 2 individual, 4 time sets","GDS2513","GPL887",28,"GSE4974"
961,"B-cell chronic lymphocytic leukemia cell type and prognosis","Homo sapiens","Expression profiling by array, count, 2 cell type, 2 other sets","GDS2501","GPL96",16,"GSE4392"
962,"Anti-cancer agent sapphyrin PCI-2050 effect on lung cancer cell line: dose response","Homo sapiens","Expression profiling by array, count, 3 agent, 4 dose sets","GDS2499","GPL570",12,"GSE6400"
963,"Airway epithelium response to injury: time course","Homo sapiens","Expression profiling by array, count, 9 individual, 2 other, 2 stress, 3 time sets","GDS2495","GPL570",22,"GSE5372"
964,"Rapamycin effect on a glucorticoid-resistant T cell lymphoblastic leukemia cell line: time course","Homo sapiens","Expression profiling by array, count, 2 agent, 3 time sets","GDS2494","GPL96",9,"GSE5824"
965,"Glucocorticoid sensitive and resistant acute lymphoblastic leukemia samples ","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS2493","GPL96",29,"GSE5820"
966,"Large airway epithelium response to cigarette smoking (HG-U133 2.0)","Homo sapiens","Expression profiling by array, count, 2 stress sets","GDS2491","GPL570",9,"GSE5059"
967,"Large airway epithelium response to cigarette smoking (HG-133A)","Homo sapiens","Expression profiling by array, count, 2 stress sets","GDS2490","GPL96",11,"GSE5057"
968,"Large airway epithelium response to cigarette smoking (HuGeneFL)","Homo sapiens","Expression profiling by array, count, 2 stress sets","GDS2489","GPL80",44,"GSE5056"
969,"Small airway epithelium response to cigarette smoking","Homo sapiens","Expression profiling by array, count, 2 stress sets","GDS2486","GPL570",22,"GSE4498"
970,"Dermal lymphatic endothelial cell response to tumor necrosis factor alpha","Homo sapiens","Expression profiling by array, transformed count, 2 agent sets","GDS2484","GPL570",6,"GSE6257"
971,"Inflammatory acne","Homo sapiens","Expression profiling by array, count, 2 disease state, 12 individual, 2 other sets","GDS2478","GPL571",18,"GSE6475"
972,"Serum amyloid A effect on endothelial cells: time course","Homo sapiens","Expression profiling by array, count, 2 agent, 4 time sets","GDS2471","GPL570",8,"GSE6241"
973,"Neural tube defect: amniotic fluid","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS2470","GPL570",9,"GSE4182"
974,"PPAR-gamma activation and RAR-alpha inhibition effect on dendritic cells","Homo sapiens","Expression profiling by array, count, 4 agent sets","GDS2453","GPL570",11,"GSE5679"
975,"Histone deacetylase inhibitor effect on endothelial cells","Homo sapiens","Expression profiling by array, count, 2 agent sets","GDS2452","GPL201",6,"GSE5856"
976,"Erythropoietin effect on early erythroid progenitor cells","Homo sapiens","Expression profiling by array, log2 ratio, 4 growth protocol sets","GDS2448","GPL3528",12,"GSE6260"
977,"Transcriptional profiling of tobacco smokers versus controls","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS2447","GPL1426",15,"GSE6264"
978,"PTEN deletion mutation effect on colon cancer cells","Homo sapiens","Expression profiling by array, count, 2 cell line sets","GDS2446","GPL96",5,"GSE6263"
979,"Polycomb group protein depletion effect on embryonic fibroblasts","Homo sapiens","Expression profiling by array, count, 5 protocol sets","GDS2445","GPL96",15,"GSE6015"
980,"Dichloroacetate effect on cultured lung carcinoma and glioblastoma cells","Homo sapiens","Expression profiling by array, count, 2 agent, 2 cell type sets","GDS2444","GPL96",4,"GSE6014"
981,"Pituitary adenoma predisposition: whole blood ","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS2432","GPL570",16,"GSE4488"
982,"Erythroid differentiation in vitro: time course","Homo sapiens","Expression profiling by array, count, 6 time sets","GDS2431","GPL570",18,"GSE4655"
983,"Monocyte differentiation to macrophage and subsequent polarization (HG-U133B)","Homo sapiens","Expression profiling by array, transformed count, 5 development stage sets","GDS2430","GPL97",15,"GSE5099"
984,"Monocyte differentiation to macrophage and subsequent polarization (HG-U133A)","Homo sapiens","Expression profiling by array, transformed count, 5 development stage sets","GDS2429","GPL96",15,"GSE5099"
985,"DNA demethylation effect on glioblastoma cultures","Homo sapiens","Expression profiling by array, count, 2 agent, 3 specimen sets","GDS2428","GPL96",12,"GSE4717"
986,"Hypertension-related calcium-regulated gene overexpression effect on kidney cell line","Homo sapiens","Expression profiling by array, count, 2 protocol sets","GDS2426","GPL570",8,"GSE4737"
987,"Embryonic fibroblast-like differentiated cell","Homo sapiens","Expression profiling by array, count, 4 cell type sets","GDS2423","GPL2700",4,"GSE5416"
988,"Fibroblast growth factor 2 restimulation effect on embryonic fibroblast","Homo sapiens","Expression profiling by array, count, 2 agent, 2 protocol sets","GDS2422","GPL2700",4,"GSE5415"
989,"Multiple sclerosis response to interferon beta-1a therapy: peripheral blood mononuclear cells","Homo sapiens","Expression profiling by array, count, 2 agent, 2 disease state, 6 individual, 4 time sets","GDS2419","GPL4191",36,"GSE5574"
990,"Vulvar intraepithelial neoplasia","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS2418","GPL570",18,"GSE5563"
991,"Exercise effect on white blood cells","Homo sapiens","Expression profiling by array, count, 3 cell type, 3 individual, 2 protocol sets","GDS2417","GPL571",18,"GSE4251"
992,"Different areas of cervical cancer tumors","Homo sapiens","Expression profiling by array, transformed count, 11 individual sets","GDS2416","GPL570",33,"GSE5787"
993,"Breast carcinomas and local recurrence","Homo sapiens","Expression profiling by array, log2 ratio, 2 disease state, 2 specimen sets","GDS2415","GPL3558",59,"GSE4913"
994,"Decidual stromal cell response to trophoblast conditioned medium: time course","Homo sapiens","Expression profiling by array, count, 2 agent, 3 time sets","GDS2414","GPL570",14,"GSE5809"
995,"Idiopathic myelofibrosis: hematopoietic CD34+ stem cells","Homo sapiens","Expression profiling by array, count, 2 disease state sets","GDS2397","GPL96",6,"GSE3410"
